ISO timestamp of the import (UTC),Report date extracted from filename,Region/market from filename,Page URL,Traffic share (%),Number of ranking keywords,Estimated organic traffic,Adwords positions,Positions with commercial intents in top 20,Positions with informational intents in top 20,Positions with navigational intents in top 20,Positions with transactional intents in top 20,Positions with unknown intents in top 20,Traffic with commercial intents in top 20,Traffic with informational intents in top 20,Traffic with navigational intents in top 20,Traffic with transactional intents in top 20,Traffic with unknown intents in top 20,Traffic change
target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a,target: n/a
timestamp_iso,report_date,region,url,traffic_pct,keywords,traffic,adwords_positions,positions_commercial_top20,positions_informational_top20,positions_navigational_top20,positions_transactional_top20,positions_unknown_top20,traffic_commercial_top20,traffic_informational_top20,traffic_navigational_top20,traffic_transactional_top20,traffic_unknown_top20,traffic_change
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/fr/news/hudson-yards-newest-eateries/,0,17,1,0,2,5,3,2,0,0,1,0,0,0,1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/de/news/edge-nyc-your-guide-to-the-best-views-in-nyc/,0,2,1,0,2,1,0,0,0,1,1,0,0,0,1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/priority-access-ticket/,0,18,1,0,3,6,3,4,0,0,1,0,0,0,1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/es/news/group-birthday-ideas-nyc/,0,4,2,0,3,0,0,0,0,2,0,0,0,0,1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/fr/news/veterans-day-in-nyc/,0,2,6,0,0,2,0,0,0,0,6,0,0,0,1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/best-place-to-propose-in-nyc/,0,25,11,0,2,4,0,0,0,4,7,0,0,0,1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/adriatique-live-at-marquee-skydeck-edge-nyc/,0.06,39,121,0,5,10,1,4,0,72,117,0,42,0,-1
2026-02-10T00:47:35.397Z,2026-02-08,US,https://reachforthesky.edgenyc.com/pdfs/HY-Edge-Reach-EdGuide-Immersive.pdf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/news/rock-roll-playhouse-at-edge/,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/it/news/sky-high-yoga/,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/events/marquee-skydeck-luciano/,0,22,0,0,0,3,0,2,0,0,0,0,0,0,0
2026-02-10T00:47:35.397Z,2026-02-08,US,https://www.edgenyc.com/world-photography-day-terms-conditions/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
